"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS224J-S3-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS224J-S3-Quick-Guide-v1.10.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS224J-S3","string","https://premio.blob.core.windows.net/premio/uploads/2017/05/DSS224J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS212J-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-DSS316J-S3-DSS424J-S3-eDrawer4048J-S3-eDrawer4060J-S3-eDrawer4072J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS212J-S3-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-Quick-Guide-v1.00.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS212J-S3","string","https://premio.blob.core.windows.net/premio/uploads/2017/05/DSS212J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4096J-Quick-Guide-v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_eDrawer4096J-Quick-Guide-v2.30.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4096J-S2","string","https://premio.blob.core.windows.net/premio/uploads/2017/06/eDrawer4096J-S2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4072J-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-DSS316J-S3-DSS424J-S3-eDrawer4048J-S3-eDrawer4060J-S3-eDrawer4072J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4072J-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_eDrawer4072J-Quick-Guide-v1.00.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4072J-S3-1","string","https://premio.blob.core.windows.net/premio/uploads/2017/06/eDrawer4072J-S3-1.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","eDrawer4060J-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-DSS316J-S3-DSS424J-S3-eDrawer4048J-S3-eDrawer4060J-S3-eDrawer4072J-S3.pdf"
