"Product GID","Product handle","Product title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","710_Operating Temperature","string","0&deg;C ~ 35&deg;C"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","720_Storage Temperature","string","-20&deg;C ~ 70&deg;C"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","730_Relative Humidity","string","5% ~ 95% relative humidity, non-condensing"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","800_Physical","string","Physical"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","810_Dimensions (W x H x D)","string","System: 26.5""x19""x3.5"" (LxWxH) Packaging: 37""x 25.2""x13.8""(LxWxH)"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","820_Weights","string","Net Weight: 50lbs w/o Hard Drives; Gross Weight: 68lbs"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","family","string","server"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","product series","string","DuraStreams"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","resource_Data Sheet","string","DS_DSS212S-D5_E"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","title","string","DSS212S-D5"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","171_Driver Bays","string","12 hot-swap 3.5"" 12G/6G SAS/SATA drive bay Each node: 2x internal 2.5"" 7mm for OS drive bays"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","220_Cooling","string","Each node: 5x 40mm fans"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","739_HTS Code","string","8473 30 5100"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","740_ECCN","string","4A994"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","741_Compliance","string","CE, FCC Class A, RoHS 6/6 compliant"
